index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://media-hosting.imagekit.io/b704ac8637bd4ba8/857059326594b8c13b53e78162f706c4b0aee7e1b877594746.png?Expires=1840850123&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=Pf92-H-qtLMTHuF5LC9CEKbZYFKjLin-XvYYp8Dtp-0rtyOJP2wPwqeaLlTUx1gOeIAJGHBllKVUQoIfXHYzlTVpT2Vf4TGGubDLil5VRWQsJcUONg54triScKy53WbLwy2pSZ7ycjVa7HKE1n6HZS3VQjCIwJo8SVkmp56RrLoqxEmxj01gaMd6xiLt7LqQWVAhfIkm9EEp3D~tCIeBCdsA6-TF3qlPl5Br9X42dP~u4210oRGj1q6Mc32HVq3rmY5N-bUMacV6BJXZrSAPP22Kb5RNfW3FuzF~fyhugBAV5s4z2wYyagXTx6C52d4yhhzfue~LwWmb50Lt7a9hHg__,https://agribegri.com/products/propiconazole-25--ec-fungicide--systemic-fungicide-for-plants.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://media-hosting.imagekit.io/e86a04d32dbf4d45/screenshot_1746242226964.png?Expires=1840850230&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=lug-Y0qTW8a9V4~dFacHd16KyDoIUUqRHgeaQX1J3FrS3PjfJ4SQeXc~tV9h0y2Rixlpn3vq1rLSfJepUgYkvcaKd7Zh-8j0rVl58YL17tOB5xGuPRsVP6MzJMI-~NQgwDTJkE9-6NP~7GgzjIVEcqgPDLYWI9xZHa96tt2FWzji47nBE64MyT8mDGQD4VBPmF8PovxMZji9GmPNGbYOqkStav9luR0S-zMudCelrde3BSlrdYow4ia4rrQUdm-s2Q~-3mfSZU3eOJ-Lejv9Q88fQR2ftnwHGaWk9ixfgX~j3NUq7e~VT4FIu7WZeW0CP8hyIbAsvO6UdV~Z~URcmQ__,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://www.amazon.in/Green-Yantra-Booster-Nutrition-Panchgvaya/dp/B082YBSLH4
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://media-hosting.imagekit.io/7e6ea54d45514a2b/screenshot_1746242296372.png?Expires=1840850298&Key-Pair-Id=K2ZIVPTIP2VGHC&Signature=BKMa4urm-FqJ2xdbqCcAzMnZz-zvl0puLj5LOS4UU35hwv7FVgugfRFkbzA7xa-m~ID8BLSZpBuKz0h~MgF4pMkSrPt6oGVUNGdxtRlM-4ky-WrSG9DhZiWkaRtaYiWVNnIfX1AmrI5H4mJeY402wGD32I74jzlGB-BJeV1MwDRV86NEctAeeJ1rZoEcQRs~Gg-D9fvzBkBN3y8JKhmuXH1Mq3uXGWEFI00WeRaAorDihVxVvQvhZEByC~A8WvXNgQIJ~kDRnV4e~8YoGVVWbgBWPjhl3qw879qM~CIwQ2-OZ-b8wwWVW18XMINCkDDbVZnLUgqaXTd~wMy8TsAwgw__,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://www.amazon.in/PLANTIC-Fertilizer-Flowering-Blooming-BloomDrop/dp/B08YKFP4BM
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://www.indiamart.com/proddetail/m45-mancozeb-75-wp-fungicide-15789700491.html
